StadiumName,Team
Giants Stadium,NYG
Three Rivers Stadium,PIT
FedExField,WAS
U.S. Bank Stadium,MIN
Mercedes-Benz Superdome,ATL
Arrowhead Stadium,KC
FirstEnergy Stadium,CLE
Lambeau Field,GB
Texas Stadium,DAL
Oakland Coliseum,OAK
Georgia Dome,ATL
Hard Rock Stadium,MIA
Foxboro Stadium,NE
New Era Field,BUF
The Dome at America's Center,STL
Mile High Stadium,DEN
Candlestick Park,SF
Raymond James Stadium,TB
Paul Brown Stadium,CIN
M&T Bank Stadium,BAL
Nissan Stadium,TEN
Qualcomm Stadium,SD
Veterans Stadium,PHI
RCA Dome,IND
Husky Stadium,SEA
Pontiac Silverdome,DET
Sun Devil Stadium,ARI
Bank of America Stadium,CAR
TIAA Bank Field,JAX
Soldier Field,CHI
Empower Field at Mile High,DEN
Heinz Field,PIT
Memorial Stadium,CHI
NRG Stadium,HOU
Gillette Stadium,NE
CenturyLink Field,SEA
Ford Field,DET
Lincoln Financial Field,PHI
Alamodome,NO
Tiger Stadium,NO
State Farm Stadium,ARI
Lucas Oil Stadium,IND
Rogers Centre,BUF
AT&T Stadium,DAL
MetLife Stadium,NYG
TCF Bank Stadium,MIN
Levi's Stadium,SF
Los Angeles Memorial Coliseum,LA
Mercedes-Benz Stadium,ATL
SoFi Stadium,LA
Allegiant Stadium,LV
MetLife Stadium,NYJ
TIAA Bank Field,JAC
Giants Stadium,NYJ
Dignity Health Sports Park,SD
